
These predictions were generated by FAST (v7.02.00d-bjj, 20-Feb-2013)-Compiled as S-Function for Simulink on 15-May-2017 at 12:01:24.
The aerodynamic calculations were made by AeroDyn (v13.00.02a-bjj, 20-Feb-2013).

 Input files for FAST v7.02.

Time	uWind	vWind	wWind	OoPDefl1	OoPDefl2	OoPDefl3	IPDefl1	IPDefl2	IPDefl3	NcIMUTAxs	NcIMUTAys	NcIMUTAzs	RootMOoP1	RootMOoP2	RootMOoP3	RootMIP1	RootMIP2	RootMIP3	RootMFlp1	RootMFlp2	RootMFlp3	RootMEdg1	RootMEdg2	RootMEdg3	TwrBsMxt	TwrBsMyt	TwrBsMzt	LSSTipMya	LSSTipMza	LSSTipVxa	GenPwr	GenTq	GenSpeed	BlPitch1	Azimuth	RotPwr	RotThrust	RotSpeed	HSShftTq
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(m)	(m)	(m)	(m)	(m/s^2)	(m/s^2)	(m/s^2)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(kN·m)	(rpm)	(kW)	(kN·m)	(rpm)	(deg)	(deg)	(kW)	(kN)	(rpm)	(kN·m)
   0.013	 3.288E+01	 0.000E+00	 0.000E+00	 7.382E-03	 6.022E-03	 5.944E-03	 9.860E-04	-3.169E-04	 2.578E-03	 5.481E-01	-6.174E-03	 1.109E-01	 8.252E+02	 7.187E+02	 7.713E+02	 7.128E+01	 7.949E+02	-8.242E+02	 8.253E+02	 7.202E+02	 7.698E+02	 6.976E+01	 7.936E+02	-8.257E+02	 1.633E+01	 5.368E+01	-8.092E+00	 4.143E+00	-6.857E+01	 5.026E+00	 0.000E+00	 0.000E+00	 4.850E+02	 1.060E-01	 3.760E-01	 1.641E+01	 2.339E+02	 5.026E+00	 3.215E-01
   0.025	 3.288E+01	 0.000E+00	 0.000E+00	 2.963E-02	 2.419E-02	 2.385E-02	 3.778E-03	-1.414E-03	 1.014E-02	 5.825E-01	-3.565E-02	 1.167E-01	 9.593E+02	 8.384E+02	 8.721E+02	 8.298E+01	 8.349E+02	-8.450E+02	 9.594E+02	 8.399E+02	 8.706E+02	 8.120E+01	 8.334E+02	-8.466E+02	 3.433E+01	 3.822E+01	-2.243E+01	 2.322E+01	-4.937E+01	 5.049E+00	 0.000E+00	 0.000E+00	 4.852E+02	 1.060E-01	 7.538E-01	 4.633E+01	 2.438E+02	 5.049E+00	 9.032E-01
   0.038	 3.288E+01	 0.000E+00	 0.000E+00	 6.607E-02	 5.400E-02	 5.337E-02	 8.020E-03	-3.620E-03	 2.230E-02	 6.475E-01	-7.310E-02	 1.284E-01	 1.187E+03	 1.045E+03	 1.045E+03	 1.013E+02	 8.986E+02	-8.839E+02	 1.187E+03	 1.046E+03	 1.044E+03	 9.911E+01	 8.966E+02	-8.859E+02	 5.336E+01	 1.450E+01	-3.305E+01	 6.061E+01	-1.780E+01	 5.069E+00	 0.000E+00	 0.000E+00	 4.854E+02	 1.060E-01	 1.133E+00	 8.637E+01	 2.620E+02	 5.069E+00	 1.677E+00
   0.056	 3.288E+01	 0.000E+00	 0.000E+00	 1.447E-01	 1.186E-01	 1.176E-01	 1.591E-02	-9.780E-03	 4.744E-02	 7.678E-01	-1.186E-01	 1.485E-01	 1.640E+03	 1.456E+03	 1.397E+03	 1.324E+02	 1.025E+03	-9.702E+02	 1.641E+03	 1.458E+03	 1.395E+03	 1.294E+02	 1.022E+03	-9.728E+02	 7.113E+01	-4.667E+01	-2.070E+01	 1.324E+02	 4.088E+01	 5.091E+00	 0.000E+00	 0.000E+00	 4.862E+02	 1.060E-01	 1.705E+00	 1.569E+02	 2.965E+02	 5.091E+00	 3.034E+00
   0.069	 3.288E+01	 0.000E+00	 0.000E+00	 2.150E-01	 1.768E-01	 1.753E-01	 2.135E-02	-1.694E-02	 6.835E-02	 8.777E-01	-1.373E-01	 1.664E-01	 2.036E+03	 1.816E+03	 1.705E+03	 1.580E+02	 1.130E+03	-1.054E+03	 2.037E+03	 1.818E+03	 1.703E+03	 1.542E+02	 1.127E+03	-1.057E+03	 6.430E+01	-1.043E+02	 2.039E+01	 1.925E+02	 9.199E+01	 5.098E+00	 0.000E+00	 0.000E+00	 4.870E+02	 1.060E-01	 2.087E+00	 2.047E+02	 3.284E+02	 5.098E+00	 3.953E+00
   0.081	 3.288E+01	 0.000E+00	 0.000E+00	 2.992E-01	 2.469E-01	 2.445E-01	 2.599E-02	-2.714E-02	 9.138E-02	 9.848E-01	-1.348E-01	 1.818E-01	 2.455E+03	 2.198E+03	 2.040E+03	 1.828E+02	 1.245E+03	-1.156E+03	 2.455E+03	 2.200E+03	 2.038E+03	 1.782E+02	 1.241E+03	-1.160E+03	 3.527E+01	-1.821E+02	 8.965E+01	 2.493E+02	 1.407E+02	 5.101E+00	 0.000E+00	 0.000E+00	 4.880E+02	 1.060E-01	 2.469E+00	 2.477E+02	 3.608E+02	 5.101E+00	 4.781E+00
   0.097	 3.288E+01	 0.000E+00	 0.000E+00	 4.267E-01	 3.544E-01	 3.494E-01	 2.921E-02	-4.582E-02	 1.221E-01	 1.134E+00	-1.093E-01	 2.017E-01	 3.035E+03	 2.722E+03	 2.508E+03	 2.147E+02	 1.403E+03	-1.315E+03	 3.035E+03	 2.725E+03	 2.506E+03	 2.091E+02	 1.398E+03	-1.320E+03	-4.501E+01	-2.974E+02	 2.091E+02	 3.291E+02	 2.002E+02	 5.097E+00	 0.000E+00	 0.000E+00	 4.895E+02	 1.060E-01	 2.948E+00	 2.862E+02	 4.068E+02	 5.097E+00	 5.528E+00
   0.113	 3.288E+01	 0.000E+00	 0.000E+00	 5.720E-01	 4.782E-01	 4.688E-01	 2.927E-02	-6.981E-02	 1.529E-01	 1.269E+00	-7.228E-02	 2.161E-01	 3.605E+03	 3.239E+03	 2.979E+03	 2.404E+02	 1.568E+03	-1.497E+03	 3.606E+03	 3.242E+03	 2.976E+03	 2.338E+02	 1.562E+03	-1.502E+03	-1.620E+02	-4.275E+02	 3.314E+02	 4.003E+02	 2.516E+02	 5.089E+00	 0.000E+00	 0.000E+00	 4.911E+02	 1.060E-01	 3.425E+00	 3.079E+02	 4.508E+02	 5.089E+00	 5.956E+00
   0.131	 3.288E+01	 0.000E+00	 0.000E+00	 7.753E-01	 6.534E-01	 6.353E-01	 2.355E-02	-1.075E-01	 1.892E-01	 1.413E+00	-2.197E-02	 2.266E-01	 4.278E+03	 3.839E+03	 3.543E+03	 2.628E+02	 1.776E+03	-1.750E+03	 4.279E+03	 3.843E+03	 3.539E+03	 2.549E+02	 1.769E+03	-1.757E+03	-3.554E+02	-5.892E+02	 4.590E+02	 4.826E+02	 2.949E+02	 5.075E+00	 0.000E+00	 0.000E+00	 4.931E+02	 1.060E-01	 3.997E+00	 3.054E+02	 5.010E+02	 5.075E+00	 5.925E+00
